Meter_Hours,Latitude,Longitude,Pay By Cell Number
2 HR Pas Mon-Sat 0900-1900,40.7419692101142,-73.9601022363564,425037
4HR Pas Mon-Sat 0800-2000,40.8905800872828,-73.8984297276812,204043
2 HR Pas Mon-Sat 0800-1900,40.6559727189607,-74.0063071250755,314224
2 HR Pas Mon-Sat 0900-1900,40.8926304236024,-73.8574753442303,213858
2 HR Pas Mon-Sat 0900-1900,40.881092998664,-73.8642414903338,211340
2 HR Pas Mon-Sat 0900-1700,40.5794154300187,-73.9749645054617,313593
2 HR Pas Mon-Sat 0800-1900,40.8435732630686,-73.9125972683997,204293
2 HR Pas Mon-Sat 0900-1900,40.8802095553327,-73.865002320509,217557
2 HR Pas Mon-Sat 0900-1700,40.5793789575025,-73.9747692452798,302225
2 HR Pas Mon-Sat 0900-1900,40.8791375953599,-73.8652988859551,203460
2 HR Pas Mon-Sat 0830-1900,40.6935079003137,-73.9649331519889,327823
1HR Com Mon-Sat 1000-1600 /5HR Pas Mon-Sat 1900-2400,40.7599609902574,-73.9879409140779,103103
15 HR Pas Mon-Sat 0600-2200,40.5765868946952,-73.9716301203594,342846
2 HR Pas Mon-Sat 0900-1900,40.7450709328133,-73.9473088607912,414316
2 HR Pas Mon-Sat 0830-1900,40.84334665539,-73.9126145949337,210391
2 HR Pas Mon-Sat 0830-1900,40.5805865972505,-73.8376464311452,456958
2 HR Pas Mon-Sat 0800-1900,40.6575987720299,-74.0046261686824,338630
2 HR Pas Mon-Sat 0900-1700,40.5793999706884,-73.9748447945931,306926
2 HR Pas Mon-Sat 0800-1900,40.6565066827064,-74.0057484819366,302622
2 HR Pas Mon-Sat 0830-1900,40.8441065170706,-73.9142856908016,206581
3HR Com Mon-Sat 0700-1800 /6 HR Pas Sat 1800-2400,40.7625590910984,-73.9868732929518,103123
2 HR Pas 0830-1900 Mon-Thur/ 4Hr Pas 0830-1900 Fri,40.63178428005,-73.9953024073301,306066
2HR Pas Mon-Sat 0800-1900,40.765303665534,-73.9620234731652,107210
2 HR Pas Mon-Sat 0830-1900,40.8940460008359,-73.8571395198079,214290
3HR Com Mon-Sat 0700-1800 /6 HR Pas Sat 1800-2400,40.7628693070588,-73.9876164177723,103123
3HR Com Mon-Fri 1000-1600 /5HR Pas Mon-Fri 1900-2400 /5HR Pas Sat 0800-2400,40.7580934335906,-73.9762546377005,105647
2 HR Pas Mon-Fri 0800-1900,40.7270163160405,-73.8220686199835,457013
2 HR Pas Mon-Fri 0800-1900,40.732335483614,-73.824813406806,457025
2 HR Pas Mon-Sat 0800-1900,40.6574672973513,-74.004057144462,307352
2 HR Pas Mon-Sat 0830-1900,40.6934559365094,-73.9646251495708,331703
2 HR Pas Mon-Sat 0830-1900,40.580255492596,-73.8374595808953,456958
2 HR Pas 0830-1900 Mon-Thur/ 4Hr Pas 0830-1900 Fri,40.6273797827927,-73.9967204392294,323626
4HR Pas Mon-Sat 0800-2000,40.8908872327127,-73.8982116094116,210325
2 HR Pas Mon-Sat 0900-1900,40.8794921393818,-73.8652212157508,203386
2HR Pas Mon-Sat 0900-1900,40.7171068357235,-74.0091758699092,107132
3HR Com Mon-Fri 1000-1600 /5HR Pas Mon-Fri 1900-2400 /5HR Pas Sat 0800-2400,40.7617256251221,-73.984885262773,106241
2 HR Pas Mon-Fri 0800-1900,40.7329449769541,-73.8251192904317,457029
3HR Com Mon-Fri 1000-1600 /5HR Pas Mon-Fri 1900-2400 /5HR Pas Sat 0800-2400,40.7606568773091,-73.9823564530261,106772
2 HR Pas Mon-Sat 0900-1700,40.5793671242465,-73.9746693469391,302226
4HR Pas Mon-Sat 0800-2000,40.7418351594901,-73.9578146456605,428922
4HR Pas Mon-Sat 0800-2000,40.8907587430889,-73.8981776613712,217442
2HR Pas Mon-Sat 0800-1900,40.7653763346145,-73.9623065384235,107210
