ZIP CODE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED
11231,59.0,2.0,6,1,43,0
11232,45.0,3.0,6,1,31,0
11233,105.0,7.0,9,1,85,3
11234,113.0,17.0,4,1,89,13
11235,73.0,8.0,5,0,58,4
11236,148.0,13.0,7,1,118,7
11237,52.0,4.0,6,1,32,1
11238,84.0,7.0,7,2,67,2
11239,38.0,3.0,2,0,26,2
11241,0.0,0.0,0,0,0,0
11242,0.0,0.0,0,0,2,0
11249,49.0,6.0,9,1,28,3
11251,3.0,0.0,1,0,2,0
11354,67.0,7.0,2,1,53,3
11355,52.0,3.0,3,1,38,1
11356,32.0,1.0,1,0,28,0
11357,25.0,2.0,1,0,21,1
11358,40.0,3.0,1,0,35,2
11359,1.0,0.0,1,0,0,0
11360,19.0,1.0,1,0,15,0
11361,86.0,2.0,2,0,77,1
11362,32.0,2.0,1,0,26,1
11363,19.0,0.0,1,0,15,0
11364,28.0,6.0,1,0,21,5
11365,34.0,4.0,4,0,26,3
11366,50.0,2.0,1,0,44,1
11367,61.0,3.0,3,0,49,2
11368,86.0,5.0,9,1,61,1
11369,41.0,2.0,4,0,31,1
11370,56.0,2.0,4,0,44,1
11372,86.0,6.0,8,0,58,4
11373,76.0,6.0,8,1,50,1
11374,49.0,3.0,2,1,36,1
11375,61.0,2.0,6,0,41,1
11377,66.0,8.0,4,1,53,3
11378,52.0,3.0,4,1,33,1
11379,74.0,4.0,2,0,64,2
11385,79.0,5.0,5,0,66,3
11411,49.0,5.0,2,1,43,4
11412,54.0,2.0,2,0,43,1
11413,61.0,9.0,3,1,48,7
11414,57.0,4.0,3,1,48,2
11415,31.0,3.0,1,1,19,1
11416,55.0,5.0,3,1,45,3
11417,52.0,5.0,2,1,46,1
11418,50.0,8.0,4,0,36,7
11419,62.0,7.0,4,0,41,3
11420,63.0,11.0,2,1,54,9
11421,55.0,2.0,5,0,45,1
11422,68.0,3.0,1,1,60,1
11423,53.0,4.0,2,0,38,3
11426,34.0,2.0,1,0,29,1
11427,75.0,3.0,2,0,68,2
11428,68.0,2.0,5,0,56,1
11429,68.0,4.0,1,0,62,2
11430,14.0,1.0,0,0,12,0
11432,56.0,4.0,3,0,42,1
11433,94.0,5.0,3,0,71,4
11434,112.0,9.0,5,1,100,6
11435,91.0,2.0,3,0,68,1
11436,60.0,2.0,1,1,49,1
11691,91.0,9.0,7,1,72,5
11692,34.0,1.0,2,0,24,0
11693,64.0,3.0,2,1,54,1
11694,39.0,3.0,4,0,20,2
11695,7.0,0.0,0,0,6,0
11697,14.0,0.0,1,0,11,0
