ZIP CODE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED
11218,0.0,0.0,0,0,0,0
11204,1.0,0.0,0,0,0,0
11212,2.0,0.0,0,0,2,0
10453,2.0,0.0,0,0,0,0
10029,4.0,1.0,0,0,3,1
10463,0.0,1.0,0,0,0,0
10452,5.0,0.0,0,0,5,0
11235,2.0,0.0,0,0,1,0
11363,3.0,0.0,0,0,3,0
10465,1.0,0.0,0,0,1,0
10475,11.0,0.0,0,0,11,0
11215,2.0,0.0,1,0,1,0
11229,1.0,0.0,1,0,0,0
10171,0.0,0.0,0,0,0,0
10465,2.0,0.0,0,0,0,0
11369,7.0,0.0,0,0,7,0
10025,0.0,0.0,0,0,0,0
10001,3.0,0.0,0,0,1,0
10019,0.0,1.0,0,1,0,0
11217,0.0,0.0,0,0,0,0
11375,4.0,0.0,0,0,4,0
10280,0.0,1.0,0,0,0,0
11223,8.0,0.0,0,0,8,0
11368,2.0,0.0,0,0,1,0
11004,7.0,0.0,0,0,7,0
11105,3.0,0.0,0,0,1,0
11218,2.0,0.0,0,0,1,0
11377,1.0,0.0,0,0,1,0
10037,2.0,0.0,0,0,2,0
11217,1.0,0.0,0,0,1,0
10009,2.0,0.0,0,0,2,0
10282,1.0,0.0,1,0,0,0
10105,1.0,0.0,1,0,0,0
11210,2.0,0.0,1,0,1,0
11105,0.0,1.0,0,0,0,0
10454,2.0,0.0,0,0,2,0
10305,0.0,0.0,0,0,1,0
10456,0.0,1.0,0,0,0,1
11433,4.0,0.0,0,0,4,0
10460,13.0,0.0,0,0,13,0
10454,6.0,0.0,0,0,6,0
11378,5.0,0.0,0,0,0,0
11209,0.0,1.0,0,0,0,0
11233,3.0,0.0,1,0,2,0
11236,1.0,0.0,1,0,0,0
11203,2.0,0.0,2,0,0,0
10468,0.0,1.0,0,0,0,1
11216,5.0,0.0,0,0,4,0
11238,0.0,1.0,0,1,0,0
11423,6.0,0.0,0,0,6,0
10471,4.0,0.0,0,0,4,0
10035,4.0,0.0,0,0,4,0
11225,3.0,0.0,0,0,1,0
10034,2.0,0.0,0,0,2,0
11368,3.0,0.0,0,0,2,0
10304,2.0,0.0,2,0,0,0
11224,2.0,0.0,0,0,0,0
10017,2.0,0.0,0,0,2,0
10031,2.0,0.0,1,0,1,0
11413,2.0,0.0,0,0,0,0
10178,1.0,0.0,0,0,0,0
11414,1.0,0.0,0,0,1,0
10467,4.0,0.0,0,0,1,0
11232,3.0,0.0,1,0,0,0
10002,1.0,0.0,0,0,1,0
11436,1.0,0.0,0,0,0,0
10011,0.0,0.0,0,0,2,0
11235,0.0,0.0,0,0,3,0
10039,2.0,0.0,1,0,1,0
11426,0.0,1.0,0,0,0,1
11366,11.0,0.0,0,0,11,0
10452,2.0,0.0,0,0,2,0
10473,2.0,0.0,0,0,1,0
11378,8.0,0.0,0,0,8,0
11354,1.0,0.0,0,0,1,0
11364,2.0,0.0,0,0,1,0
